filename,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
average,0.834,0.7005,0.4025,0.7002,0.403,0.7505,0.7247,0.9922
code_block/BankApp.java/BankApp.java.md,0.6,0.0,1.4521,0.0,1.4893,1.0,1.0,1.0
code_block/StudentGradeApp.java/StudentGradeApp.java.md,0.918,0.7975,0.2025,0.7924,0.2076,1.0,1.0,1.0
code_block/TodoApp.java/TodoApp.java.md,0.9461,0.8663,0.1337,0.8642,0.1358,1.0,1.0,1.0
code_block/account_book.c/account_book.c.md,0.9008,0.7565,0.2435,0.7476,0.2524,1.0,1.0,1.0
code_block/flashcards.py/flashcards.py.md,0.8951,0.7417,0.2583,0.7338,0.2662,1.0,1.0,1.0
code_block/image_tool.py/image_tool.py.md,0.8882,0.724,0.276,0.7168,0.2832,1.0,1.0,1.0
code_block/log_analyzer.py/log_analyzer.py.md,0.924,0.8124,0.1876,0.8074,0.1926,1.0,1.0,1.0
code_block/md_to_html.c/md_to_html.c.md,0.924,0.8126,0.1874,0.8076,0.1924,1.0,1.0,1.0
code_block/news_crawler.c/news_crawler.c.md,0.9299,0.827,0.173,0.8224,0.1776,1.0,1.0,1.0
code_block/notepad.c/notepad.c.md,0.7362,0.3518,0.6482,0.3291,0.6709,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,0.9702,0.9254,0.0746,0.9254,0.0746,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.7066,0.6645,0.3355,0.6645,0.3355,0.6171,0.5869,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.9361,0.8402,0.1598,0.8402,0.1598,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,0.3394,0.3485,0.6515,0.3485,0.6515,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,0.9636,0.9089,0.0911,0.9089,0.0911,1.0,1.0,1.0
