filename,heading_structure_p,heading_structure_r,heading_structure_f1,level_p,level_r,level_f1,list_p,list_r,list_f1,text_edit,text_edit_sim,paragraph_pairs,contents_sim
average,0.4097,0.3719,0.3661,0.2375,0.2294,0.2182,0.6782,0.6782,0.6782,0.1854,0.8146,8.4809,0.7419
code_block/BankApp.java/BankApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9931,0.0069,103.0,0.0009
code_block/StudentGradeApp.java/StudentGradeApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9188,0.0812,2.0,0.0199
code_block/TodoApp.java/TodoApp.java.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7197,0.2803,4.0,0.0508
code_block/account_book.c/account_book.c.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.976,0.024,3.0,0.0002
code_block/flashcards.py/flashcards.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989,0.011,3.0,0.0
code_block/image_tool.py/image_tool.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866,0.0134,3.0,0.0
code_block/log_analyzer.py/log_analyzer.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9445,0.0555,7.0,0.0
code_block/md_to_html.c/md_to_html.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9447,0.0553,7.0,0.0
code_block/news_crawler.c/news_crawler.c.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9455,0.0545,5.0,0.0002
code_block/notepad.c/notepad.c.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9704,0.0296,9.0,0.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,1.0,1.0,1.0,0.6,0.6,0.6,0.3846,0.3846,0.3846,0.0196,0.9804,6.0,0.7565
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9091,0.0909,12.0,0.7553
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222,0.7778,9.0,0.51
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.9992,14.0,0.9767
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0045,0.9955,6.0,0.8199
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,2.0,0.1163
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5623
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3363,0.6637,3.0,0.6321
eval_split/fail/processed_00_documents_eval/0850/3b484b359d8d950fd2641fb8e05f18a31d7c-11/3b484b359d8d950fd2641fb8e05f18a31d7c-11.md,1.0,1.0,1.0,1.0,1.0,1.0,0.9091,0.9091,0.9091,0.0013,0.9987,18.0,0.9596
eval_split/fail/processed_00_documents_eval/088b/c38f32e301a7ced88d9d6302be1bc28b7412-1/c38f32e301a7ced88d9d6302be1bc28b7412-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0135,0.9865,21.0,0.8322
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0679,0.9321,2.0,0.6552
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0
eval_split/fail/processed_00_documents_eval/09a8/e9a23c9ff1a999ab816150f7b3b864404435-1/e9a23c9ff1a999ab816150f7b3b864404435-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1633,0.8367,7.0,0.7708
eval_split/fail/processed_00_documents_eval/0a29/c89f314b8bdc504d35270d7c3d021a692bab-97/c89f314b8bdc504d35270d7c3d021a692bab-97.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0
eval_split/fail/processed_00_documents_eval/0ba8/a3e6ed64a2173f29dc26d194b0b72d362581-3/a3e6ed64a2173f29dc26d194b0b72d362581-3.md,0.125,0.125,0.125,0.125,0.125,0.125,1.0,1.0,1.0,0.1724,0.8276,12.0,0.7512
eval_split/fail/processed_00_documents_eval/0c3c/8aa760bff3904d0693fd828eeee815a57afe-8/8aa760bff3904d0693fd828eeee815a57afe-8.md,1.0,0.5,0.6667,0.0,0.0,0.0,1.0,1.0,1.0,0.0171,0.9829,13.0,0.8006
eval_split/fail/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-4/277a4d753f9de0d8a9155e6d13ad749ea05d-4.md,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0129,0.9871,6.0,0.8252
eval_split/fail/processed_00_documents_eval/0c8f/431e55703d66d313eca3a42c6307951a81d8-141/431e55703d66d313eca3a42c6307951a81d8-141.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,28.0,1.0
eval_split/fail/processed_00_documents_eval/0d16/b4ef03a883ba0bed6ca9021684335baabb2a-3/b4ef03a883ba0bed6ca9021684335baabb2a-3.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0299,0.9701,5.0,0.8779
eval_split/fail/processed_00_documents_eval/0d2c/c8ea43964a0ed3a1b88740c6181a6eb7170a-1/c8ea43964a0ed3a1b88740c6181a6eb7170a-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0164,0.9836,8.0,0.9042
eval_split/fail/processed_00_documents_eval/10d5/a0a644b0ad85d065e1b6cc8019ac5b79be79-1/a0a644b0ad85d065e1b6cc8019ac5b79be79-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4635,0.5365,7.0,0.6003
eval_split/fail/processed_00_documents_eval/14d0/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3/4b04fcc1cdfa5f3fb92a85740e8ff3f1f851-3.md,1.0,1.0,1.0,0.1538,0.1538,0.1538,1.0,1.0,1.0,0.0006,0.9994,22.0,0.9883
eval_split/fail/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3.md,1.0,0.6667,0.8,0.0,0.0,0.0,1.0,1.0,1.0,0.0106,0.9894,11.0,0.8284
eval_split/fail/processed_00_documents_eval/1606/499074357e6b08801005f35c3198059cd6f5-1/499074357e6b08801005f35c3198059cd6f5-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,5.0,0.6065
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-2/a93d26ca754b14d70b3c6e6620668ae87add-2.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-6/a93d26ca754b14d70b3c6e6620668ae87add-6.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1417,0.8583,5.0,0.8594
eval_split/fail/processed_00_documents_eval/1a0a/087e96361849f3228a35ac1a9cd064c7c345-1/087e96361849f3228a35ac1a9cd064c7c345-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6024,0.3976,5.0,0.2971
eval_split/fail/processed_00_documents_eval/1af2/661ef31d843054c2148cd5294e11e16e7478-11/661ef31d843054c2148cd5294e11e16e7478-11.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608,0.2392,5.0,0.475
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-1/a2c7b6086e97e5c80e178b618cad970c5ef7-1.md,0.8889,0.7273,0.8,0.4444,0.3636,0.4,1.0,1.0,1.0,0.0054,0.9946,18.0,0.9004
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-2/a2c7b6086e97e5c80e178b618cad970c5ef7-2.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3611,0.6389,27.0,0.5398
