filename,table_struct_p,table_struct_r,table_struct_f1,table_struct_avg_sim,table_semantic_p,table_semantic_r,table_semantic_f1,table_semantic_avg_sim
average,0.4908,0.5185,0.4996,0.5433,0.4493,0.4754,0.4575,0.5116
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.3333,1.0,0.5,1.0,0.3333,1.0,0.5,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-4/d9477c8bed00f49d631d1fc90d29d1d70c8f-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9754
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/09a8/e9a23c9ff1a999ab816150f7b3b864404435-1/e9a23c9ff1a999ab816150f7b3b864404435-1.md,1.0,1.0,1.0,0.916,1.0,1.0,1.0,0.7688
eval_split/fail/processed_00_documents_eval/0a29/c89f314b8bdc504d35270d7c3d021a692bab-97/c89f314b8bdc504d35270d7c3d021a692bab-97.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0c45/277a4d753f9de0d8a9155e6d13ad749ea05d-4/277a4d753f9de0d8a9155e6d13ad749ea05d-4.md,0.4,1.0,0.5714,0.9268,0.4,1.0,0.5714,0.9645
eval_split/fail/processed_00_documents_eval/10d5/a0a644b0ad85d065e1b6cc8019ac5b79be79-1/a0a644b0ad85d065e1b6cc8019ac5b79be79-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/15ef/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3/bea14f61ed341c3bcc1b7ef4e1ae3b22664b-3.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9003
eval_split/fail/processed_00_documents_eval/1606/499074357e6b08801005f35c3198059cd6f5-1/499074357e6b08801005f35c3198059cd6f5-1.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-2/a93d26ca754b14d70b3c6e6620668ae87add-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-4/a93d26ca754b14d70b3c6e6620668ae87add-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995
eval_split/fail/processed_00_documents_eval/1727/a93d26ca754b14d70b3c6e6620668ae87add-6/a93d26ca754b14d70b3c6e6620668ae87add-6.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8416
eval_split/fail/processed_00_documents_eval/1a0a/087e96361849f3228a35ac1a9cd064c7c345-1/087e96361849f3228a35ac1a9cd064c7c345-1.md,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eval_split/fail/processed_00_documents_eval/1af2/661ef31d843054c2148cd5294e11e16e7478-11/661ef31d843054c2148cd5294e11e16e7478-11.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-1/a2c7b6086e97e5c80e178b618cad970c5ef7-1.md,0.0,0.0,0.0,0.1388,0.0,0.0,0.0,0.0852
eval_split/fail/processed_00_documents_eval/1b8e/a2c7b6086e97e5c80e178b618cad970c5ef7-2/a2c7b6086e97e5c80e178b618cad970c5ef7-2.md,1.0,1.0,1.0,0.8658,1.0,1.0,1.0,0.9368
eval_split/fail/processed_00_documents_eval/2144/76af4c58afaf6b514e493b5ebc37de7ae740-1/76af4c58afaf6b514e493b5ebc37de7ae740-1.md,0.0,0.0,0.0,0.0291,0.0,0.0,0.0,0.0206
