filename,overall,text_edit,text_edit_ned,reading_order,reading_order_ned,table_teds,table_teds_s,formula_cdm
average,0.7801,0.5756,0.5973,0.5751,0.5952,0.7359,0.7006,0.9892
code_block/BankApp.java/BankApp.java.md,0.8885,0.726,0.274,0.7162,0.2838,1.0,1.0,1.0
code_block/StudentGradeApp.java/StudentGradeApp.java.md,0.942,0.8575,0.1425,0.8526,0.1474,1.0,1.0,1.0
code_block/TodoApp.java/TodoApp.java.md,0.9463,0.8678,0.1322,0.8637,0.1363,1.0,1.0,1.0
code_block/account_book.c/account_book.c.md,0.9205,0.8032,0.1968,0.7994,0.2006,1.0,1.0,1.0
code_block/flashcards.py/flashcards.py.md,0.9301,0.8275,0.1725,0.8228,0.1772,1.0,1.0,1.0
code_block/image_tool.py/image_tool.py.md,0.8995,0.7522,0.2478,0.7452,0.2548,1.0,1.0,1.0
code_block/log_analyzer.py/log_analyzer.py.md,0.9137,0.7872,0.2128,0.7815,0.2185,1.0,1.0,1.0
code_block/md_to_html.c/md_to_html.c.md,0.9141,0.788,0.212,0.7823,0.2177,1.0,1.0,1.0
code_block/news_crawler.c/news_crawler.c.md,0.9574,0.8949,0.1051,0.8922,0.1078,1.0,1.0,1.0
code_block/notepad.c/notepad.c.md,0.8928,0.7348,0.2652,0.7292,0.2708,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,0.9692,0.9231,0.0769,0.9231,0.0769,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,0.2238,0.059,0.941,0.0598,0.9402,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.8402,0.6004,0.3996,0.6004,0.3996,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,0.265,0.1624,0.8376,0.1624,0.8376,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,0.9305,0.8261,0.1739,0.8261,0.1739,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.553,0.0,1.0272,0.0,1.0243,0.8825,0.8825,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.2722,0.1806,0.8194,0.1806,0.8194,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-4/d9477c8bed00f49d631d1fc90d29d1d70c8f-4.md,0.5978,0.0,2.8065,0.0,2.8065,1.0,0.989,1.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,0.4917,0.0,5.0,0.0,5.0,0.7292,0.7292,1.0
eval_split/fail/processed_00_documents_eval/081f/70c4bbf2e4aeecf752051b7569e19f47d62e-5/70c4bbf2e4aeecf752051b7569e19f47d62e-5.md,0.5677,0.9193,0.0807,0.9193,0.0807,0.0,0.0,1.0
eval_split/fail/processed_00_documents_eval/0850/3b484b359d8d950fd2641fb8e05f18a31d7c-11/3b484b359d8d950fd2641fb8e05f18a31d7c-11.md,0.8196,0.5491,0.4509,0.5491,0.4509,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/088b/c38f32e301a7ced88d9d6302be1bc28b7412-1/c38f32e301a7ced88d9d6302be1bc28b7412-1.md,0.7137,0.2838,0.7162,0.2845,0.7155,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-17.md,0.6203,0.0506,0.9494,0.0506,0.9494,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/0949/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18/c1ac48c76a8e756f5c7a0f5c4175eca4cab0-18.md,0.7768,0.442,0.558,0.442,0.558,1.0,1.0,1.0
eval_split/fail/processed_00_documents_eval/09a8/e9a23c9ff1a999ab816150f7b3b864404435-1/e9a23c9ff1a999ab816150f7b3b864404435-1.md,0.707,0.3367,0.6633,0.3541,0.6459,0.9221,0.9221,1.0
eval_split/fail/processed_00_documents_eval/0a29/c89f314b8bdc504d35270d7c3d021a692bab-97/c89f314b8bdc504d35270d7c3d021a692bab-97.md,0.8182,0.5511,0.4489,0.5511,0.4489,1.0,0.989,1.0
