filename,heading_structure_p,heading_structure_r,heading_structure_f1,level_p,level_r,level_f1,list_p,list_r,list_f1,text_edit,text_edit_sim,paragraph_pairs,contents_sim
average,0.5056,0.476,0.4677,0.4165,0.3976,0.3884,0.5072,0.5072,0.5072,0.4184,0.5816,8.7269,0.6663
code_block/BankApp.java/BankApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.943,0.057,7.0,0.0864
code_block/StudentGradeApp.java/StudentGradeApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9286,0.0714,4.0,0.069
code_block/TodoApp.java/TodoApp.java.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9306,0.0694,3.0,0.0504
code_block/account_book.c/account_book.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5301,0.4699,4.0,0.3286
code_block/flashcards.py/flashcards.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8597,0.1403,6.0,0.1293
code_block/image_tool.py/image_tool.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5279,0.4721,4.0,0.1225
code_block/log_analyzer.py/log_analyzer.py.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4329,0.5671,4.0,0.277
code_block/md_to_html.c/md_to_html.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4329,0.5671,4.0,0.277
code_block/news_crawler.c/news_crawler.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8528,0.1472,4.0,0.1538
code_block/notepad.c/notepad.c.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9485,0.0515,8.0,0.0613
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-2/db669daf7d99d762eb952d64d207e27fef79-2.md,1.0,1.0,1.0,0.6,0.6,0.6,0.6486,0.6486,0.6486,0.0054,0.9946,6.0,0.8985
eval_split/fail/processed_00_documents_eval/01d2/db669daf7d99d762eb952d64d207e27fef79-4/db669daf7d99d762eb952d64d207e27fef79-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5405,0.4595,26.0,0.3483
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-1/edfed83e087cbef4bd1262c408886b04ce7e-1.md,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.0999,0.9001,6.0,0.8872
eval_split/fail/processed_00_documents_eval/04b4/edfed83e087cbef4bd1262c408886b04ce7e-2/edfed83e087cbef4bd1262c408886b04ce7e-2.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4706,0.5294,17.0,0.3855
eval_split/fail/processed_00_documents_eval/061d/ad0ccb6efb83bb8b2584546e86354a7d2e59-26/ad0ccb6efb83bb8b2584546e86354a7d2e59-26.md,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0064,0.9936,9.0,0.918
eval_split/fail/processed_00_documents_eval/0727/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1/b0fcb8cb066698f2e2e815f2f3d2b727d45f-1.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9379,0.0621,3.0,0.2177
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-2/d9477c8bed00f49d631d1fc90d29d1d70c8f-2.md,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3162
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-4/d9477c8bed00f49d631d1fc90d29d1d70c8f-4.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
eval_split/fail/processed_00_documents_eval/07fb/d9477c8bed00f49d631d1fc90d29d1d70c8f-6/d9477c8bed00f49d631d1fc90d29d1d70c8f-6.md,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.3333,3.0,0.0
